"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.208796,-0.307108,4.576893,8.610345,-1.523172,-2.702191,4.576893,8.610345,-1.523172,-2.702191,-6.100065,-9.119,3.053721,3.518877
"doxy",1,-10.22262,-7.914342,-2.178749,-2.157444,-4.918605,-4.59295,-2.178749,-2.157444,-4.918605,-4.59295,-2.739856,-2.155873,-7.097355,-4.304808
"oxy",9,-0.085307,-5.158694,-0.142836,-11.04772,-0.047795,-3.486054,-0.142836,-11.04772,-0.047795,-3.486054,0.095041,5.8413,-0.19063,-9.031362
"doxy",9,0.272115,32.74847,0.04469,6.879022,0.0243,3.527223,0.04469,6.879022,0.0243,3.527223,-0.02039,-2.494049,0.068989,6.504664
"oxy",2,-0.148479,-7.691496,-0.374768,-24.83069,0.158744,9.918386,-0.374768,-24.83069,0.158744,9.918386,0.533512,28.08882,-0.216024,-8.767041
"doxy",2,0.332837,30.52437,0.152344,17.86983,-0.01934,-2.139339,0.152344,17.86983,-0.01934,-2.139339,-0.171685,-16.00255,0.133004,9.556154
"oxy",10,0.370737,11.66598,-0.139603,-5.618626,0.230788,8.759237,-0.139603,-5.618626,0.230788,8.759237,0.370392,11.84565,0.091185,2.247938
"doxy",10,0.244022,17.04958,0.108441,9.690777,-0.04203,-3.541957,0.108441,9.690777,-0.04203,-3.541957,-0.150471,-10.68517,0.066411,3.635206
"oxy",3,-0.830633,-2.003513,0.524331,1.61759,-3.743105,-10.8896,0.524331,1.61759,-3.743105,-10.8896,-4.267437,-10.46147,-3.218774,-6.082441
"doxy",3,3.528266,3.900487,8.22455,11.62918,-6.973839,-9.298789,8.22455,11.62918,-6.973839,-9.298789,-15.19839,-17.07645,1.250712,1.083226
"oxy",11,-0.007124,-0.35302,-0.28596,-18.12463,-0.061946,-3.702497,-0.28596,-18.12463,-0.061946,-3.702497,0.224014,11.28242,-0.347906,-13.50675
"doxy",11,0.10814,12.56836,0.000881,0.131027,0.079288,11.11468,0.000881,0.131027,0.079288,11.11468,0.078407,9.261629,0.08017,7.299711
"oxy",4,0.178679,9.622929,-0.253214,-17.44219,-0.002775,-0.180235,-0.253214,-17.44219,-0.002775,-0.180235,0.25044,13.70815,-0.255989,-10.80087
"doxy",4,0.335439,30.00518,0.262406,30.02176,-0.029884,-3.224145,0.262406,30.02176,-0.029884,-3.224145,-0.29229,-26.5729,0.232522,16.2949
"oxy",12,0.013769,0.698632,-0.235412,-15.27759,0.067487,4.1301,-0.235412,-15.27759,0.067487,4.1301,0.302899,15.62019,-0.167926,-6.675251
"doxy",12,0.145487,17.40035,-0.024158,-3.69554,0.053925,7.77899,-0.024158,-3.69554,0.053925,7.77899,0.078084,9.491514,0.029767,2.789167
"oxy",5,-1.171184,-2.700698,3.98629,11.75708,-1.320806,-3.673558,3.98629,11.75708,-1.320806,-3.673558,-5.307096,-12.438,2.665485,4.815392
"doxy",5,2.212805,2.893449,4.42814,7.405827,-5.771944,-9.103149,4.42814,7.405827,-5.771944,-9.103149,-10.20008,-13.5556,-1.343803,-1.376616
"oxy",13,-0.051096,-2.510404,-0.259781,-16.32469,0.18304,10.84679,-0.259781,-16.32469,0.18304,10.84679,0.442821,22.11204,-0.076741,-2.953851
"doxy",13,-0.252012,-29.40306,-0.18108,-27.02228,0.031167,4.385983,-0.18108,-27.02228,0.031167,4.385983,0.212247,25.16846,-0.149913,-13.70298
"oxy",6,-0.0384,-1.857034,-0.276747,-17.11793,0.105072,6.128753,-0.276747,-17.11793,0.105072,6.128753,0.381819,18.76673,-0.171675,-6.504298
"doxy",6,0.016351,1.501578,0.018973,2.228505,0.018072,2.001735,0.018973,2.228505,0.018072,2.001735,-0.000901,-0.084074,0.037044,2.66523
"oxy",14,-0.426474,-18.62256,-0.472043,-26.36382,0.202072,10.64264,-0.472043,-26.36382,0.202072,10.64264,0.674115,29.91738,-0.269972,-9.235691
"doxy",14,-0.290144,-27.47415,-0.157225,-19.042,0.031867,3.63954,-0.157225,-19.042,0.031867,3.63954,0.189092,18.19812,-0.125358,-9.299693
"oxy",7,0.268737,10.48824,-0.133591,-6.66855,0.29888,14.06917,-0.133591,-6.66855,0.29888,14.06917,0.432471,17.15435,0.165289,5.053857
"doxy",7,-0.091964,-10.09815,-0.139002,-19.52212,0.041534,5.500775,-0.139002,-19.52212,0.041534,5.500775,0.180536,20.148,-0.097468,-8.38483
"oxy",15,-0.283287,-15.32279,-0.325065,-22.48858,0.175086,11.42244,-0.325065,-22.48858,0.175086,11.42244,0.500151,27.49511,-0.14998,-6.355494
"doxy",15,-0.095569,-10.06918,-0.108108,-14.56852,-0.028372,-3.605478,-0.108108,-14.56852,-0.028372,-3.605478,0.079736,8.538384,-0.13648,-11.26551
"oxy",8,0.130672,4.598584,-0.150647,-6.780805,0.26724,11.34331,-0.150647,-6.780805,0.26724,11.34331,0.417887,14.94661,0.116593,3.214538
"doxy",8,-0.091645,-8.358241,-0.062956,-7.343867,-0.027616,-3.037815,-0.062956,-7.343867,-0.027616,-3.037815,0.03534,3.275825,-0.090572,-6.471502
"oxy",16,-0.517583,-19.77298,-0.509827,-24.91118,0.195268,8.997447,-0.509827,-24.91118,0.195268,8.997447,0.705094,27.37675,-0.314559,-9.414536
"doxy",16,-0.07852,-6.547847,-0.022805,-2.432374,-0.055672,-5.599512,-0.022805,-2.432374,-0.055672,-5.599512,-0.032867,-2.785582,-0.078477,-5.127014
